ID,Type,Criticality,Source,AssetValue,CVE,CVSS,History,HistoryNote,MITRE_Code,MITRE_Name,Timestamp,Recommendations
108,BruteForce,High,MailServer-05,7,CVE-2024-49563,7.3,False,Isolated failed login,T1110,Brute Force,2024-11-30 20:31:00,1. Enable account lockout immediately | 2. Block source IP | 3. Enforce MFA | 4. Review VPN/RDP logs for past 24h
109,Phishing,High,Workstation-08,4,CVE-2024-20656,7.8,False,First occurrence,T1566,Phishing,2024-11-15 01:07:00,1. Block sender domain at mail gateway | 2. Notify impacted users | 3. Search mailboxes for similar messages | 4. Reset credentials if link was clicked
110,BruteForce,High,Workstation-08,4,CVE-2024-49563,7.3,True,Repeated failed logins from same IP over 48h,T1110,Brute Force,2024-11-18 21:03:00,1. Enable account lockout immediately | 2. Block source IP | 3. Enforce MFA | 4. Review VPN/RDP logs for past 24h
111,BruteForce,High,Workstation-07,4,None,0.0,False,Isolated failed login,T1110,Brute Force,2024-11-24 16:08:00,1. Enable account lockout immediately | 2. Block source IP | 3. Enforce MFA | 4. Review VPN/RDP logs for past 24h
112,BruteForce,Critical,Workstation-07,4,CVE-2024-49563,7.3,True,Repeated failed logins from same IP over 48h,T1110,Brute Force,2024-11-11 11:45:00,1. Enable account lockout immediately | 2. Block source IP | 3. Enforce MFA | 4. Review VPN/RDP logs for past 24h
113,BruteForce,Critical,Workstation-08,4,None,0.0,True,Repeated failed logins from same IP over 48h,T1110,Brute Force,2024-11-06 02:29:00,1. Enable account lockout immediately | 2. Block source IP | 3. Enforce MFA | 4. Review VPN/RDP logs for past 24h
114,Ransomware,High,DatabaseServer-04,9,None,0.0,False,No prior ransomware history,T1486,Data Encrypted for Impact,2024-11-12 21:26:00,1. Disconnect host from network IMMEDIATELY | 2. Snapshot VMs before shutdown | 3. Activate IR playbook | 4. Preserve forensic evidence
115,Phishing,High,FileServer-02,8,None,0.0,False,First occurrence,T1566,Phishing,2024-11-26 19:32:00,1. Block sender domain at mail gateway | 2. Notify impacted users | 3. Search mailboxes for similar messages | 4. Reset credentials if link was clicked
116,Malware,High,DomainController-01,10,CVE-2024-38112,8.8,True,Similar incident 2 months ago on same subnet,T1059,Command and Scripting Interpreter,2024-11-15 18:59:00,1. Isolate the affected endpoint | 2. Run EDR scan and memory dump | 3. Check SIEM for lateral movement | 4. Review process execution logs (T1059)
117,BruteForce,High,DomainController-01,10,None,0.0,True,Repeated failed logins from same IP over 48h,T1110,Brute Force,2024-11-25 23:42:00,1. Enable account lockout immediately | 2. Block source IP | 3. Enforce MFA | 4. Review VPN/RDP logs for past 24h
118,Malware,High,Workstation-08,4,None,0.0,True,Similar incident 2 months ago on same subnet,T1059,Command and Scripting Interpreter,2024-11-24 10:24:00,1. Isolate the affected endpoint | 2. Run EDR scan and memory dump | 3. Check SIEM for lateral movement | 4. Review process execution logs (T1059)
119,BruteForce,Critical,FileServer-02,8,CVE-2024-38077,9.8,False,Isolated failed login,T1110,Brute Force,2024-11-18 18:02:00,1. Enable account lockout immediately | 2. Block source IP | 3. Enforce MFA | 4. Review VPN/RDP logs for past 24h
120,BruteForce,High,AppServer-06,6,None,0.0,True,Repeated failed logins from same IP over 48h,T1110,Brute Force,2024-11-29 01:09:00,1. Enable account lockout immediately | 2. Block source IP | 3. Enforce MFA | 4. Review VPN/RDP logs for past 24h
121,Malware,High,Workstation-08,4,None,0.0,False,No prior incidents,T1059,Command and Scripting Interpreter,2024-11-20 00:06:00,1. Isolate the affected endpoint | 2. Run EDR scan and memory dump | 3. Check SIEM for lateral movement | 4. Review process execution logs (T1059)
122,BruteForce,High,DatabaseServer-04,9,None,0.0,True,Repeated failed logins from same IP over 48h,T1110,Brute Force,2024-11-04 10:30:00,1. Enable account lockout immediately | 2. Block source IP | 3. Enforce MFA | 4. Review VPN/RDP logs for past 24h
123,BruteForce,High,AppServer-06,6,CVE-2024-49563,7.3,True,Repeated failed logins from same IP over 48h,T1110,Brute Force,2024-11-24 00:24:00,1. Enable account lockout immediately | 2. Block source IP | 3. Enforce MFA | 4. Review VPN/RDP logs for past 24h
124,Ransomware,Critical,Workstation-07,4,None,0.0,False,No prior ransomware history,T1486,Data Encrypted for Impact,2024-11-28 04:43:00,1. Disconnect host from network IMMEDIATELY | 2. Snapshot VMs before shutdown | 3. Activate IR playbook | 4. Preserve forensic evidence
125,Phishing,High,DomainController-01,10,None,0.0,True,Similar phishing attempt observed yesterday,T1566,Phishing,2024-12-01 06:55:00,1. Block sender domain at mail gateway | 2. Notify impacted users | 3. Search mailboxes for similar messages | 4. Reset credentials if link was clicked
126,Malware,Critical,WebServer-03,7,CVE-2024-21412,9.8,True,Similar incident 2 months ago on same subnet,T1059,Command and Scripting Interpreter,2024-11-13 18:22:00,1. Isolate the affected endpoint | 2. Run EDR scan and memory dump | 3. Check SIEM for lateral movement | 4. Review process execution logs (T1059)
127,Malware,High,Workstation-08,4,None,0.0,True,Similar incident 2 months ago on same subnet,T1059,Command and Scripting Interpreter,2024-11-08 12:11:00,1. Isolate the affected endpoint | 2. Run EDR scan and memory dump | 3. Check SIEM for lateral movement | 4. Review process execution logs (T1059)
128,DataExfiltration,Medium,Workstation-07,4,None,0.0,False,No prior exfiltration events,T1041,Exfiltration Over C2 Channel,2024-11-28 11:16:00,1. Block destination IP at perimeter | 2. Capture full network traffic | 3. Identify scope of exfiltrated data | 4. Engage legal team
129,Ransomware,High,Workstation-07,4,CVE-2024-26169,7.0,False,No prior ransomware history,T1486,Data Encrypted for Impact,2024-11-20 02:22:00,1. Disconnect host from network IMMEDIATELY | 2. Snapshot VMs before shutdown | 3. Activate IR playbook | 4. Preserve forensic evidence
130,BruteForce,High,AppServer-06,6,None,0.0,False,Isolated failed login,T1110,Brute Force,2024-11-17 15:54:00,1. Enable account lockout immediately | 2. Block source IP | 3. Enforce MFA | 4. Review VPN/RDP logs for past 24h
131,Malware,Critical,MailServer-05,7,None,0.0,True,Similar incident 2 months ago on same subnet,T1059,Command and Scripting Interpreter,2024-11-02 04:53:00,1. Isolate the affected endpoint | 2. Run EDR scan and memory dump | 3. Check SIEM for lateral movement | 4. Review process execution logs (T1059)
132,BruteForce,High,DomainController-01,10,None,0.0,True,Repeated failed logins from same IP over 48h,T1110,Brute Force,2024-11-13 11:49:00,1. Enable account lockout immediately | 2. Block source IP | 3. Enforce MFA | 4. Review VPN/RDP logs for past 24h
133,Ransomware,High,MailServer-05,7,CVE-2024-37085,7.2,True,Ransomware family previously seen in sector,T1486,Data Encrypted for Impact,2024-11-30 04:48:00,1. Disconnect host from network IMMEDIATELY | 2. Snapshot VMs before shutdown | 3. Activate IR playbook | 4. Preserve forensic evidence
134,Ransomware,High,DatabaseServer-04,9,CVE-2024-40711,9.8,True,Ransomware family previously seen in sector,T1486,Data Encrypted for Impact,2024-11-14 10:50:00,1. Disconnect host from network IMMEDIATELY | 2. Snapshot VMs before shutdown | 3. Activate IR playbook | 4. Preserve forensic evidence
135,Ransomware,High,DatabaseServer-04,9,CVE-2024-40711,9.8,False,No prior ransomware history,T1486,Data Encrypted for Impact,2024-11-18 23:11:00,1. Disconnect host from network IMMEDIATELY | 2. Snapshot VMs before shutdown | 3. Activate IR playbook | 4. Preserve forensic evidence
136,DataExfiltration,High,MailServer-05,7,None,0.0,False,No prior exfiltration events,T1041,Exfiltration Over C2 Channel,2024-11-08 06:16:00,1. Block destination IP at perimeter | 2. Capture full network traffic | 3. Identify scope of exfiltrated data | 4. Engage legal team
137,Phishing,High,WebServer-03,7,None,0.0,True,Similar phishing attempt observed yesterday,T1566,Phishing,2024-11-04 11:09:00,1. Block sender domain at mail gateway | 2. Notify impacted users | 3. Search mailboxes for similar messages | 4. Reset credentials if link was clicked
138,Malware,High,AppServer-06,6,None,0.0,True,Similar incident 2 months ago on same subnet,T1059,Command and Scripting Interpreter,2024-11-01 20:16:00,1. Isolate the affected endpoint | 2. Run EDR scan and memory dump | 3. Check SIEM for lateral movement | 4. Review process execution logs (T1059)
139,BruteForce,High,WebServer-03,7,None,0.0,True,Repeated failed logins from same IP over 48h,T1110,Brute Force,2024-11-17 02:06:00,1. Enable account lockout immediately | 2. Block source IP | 3. Enforce MFA | 4. Review VPN/RDP logs for past 24h
140,BruteForce,High,Workstation-08,4,None,0.0,False,Isolated failed login,T1110,Brute Force,2024-11-03 22:40:00,1. Enable account lockout immediately | 2. Block source IP | 3. Enforce MFA | 4. Review VPN/RDP logs for past 24h
141,Phishing,Critical,WebServer-03,7,None,0.0,False,First occurrence,T1566,Phishing,2024-11-02 20:19:00,1. Block sender domain at mail gateway | 2. Notify impacted users | 3. Search mailboxes for similar messages | 4. Reset credentials if link was clicked
142,Malware,Critical,FileServer-02,8,None,0.0,True,Similar incident 2 months ago on same subnet,T1059,Command and Scripting Interpreter,2024-11-29 20:47:00,1. Isolate the affected endpoint | 2. Run EDR scan and memory dump | 3. Check SIEM for lateral movement | 4. Review process execution logs (T1059)
143,BruteForce,High,DatabaseServer-04,9,None,0.0,True,Repeated failed logins from same IP over 48h,T1110,Brute Force,2024-11-27 12:26:00,1. Enable account lockout immediately | 2. Block source IP | 3. Enforce MFA | 4. Review VPN/RDP logs for past 24h
144,BruteForce,Critical,MailServer-05,7,CVE-2024-38077,9.8,True,Repeated failed logins from same IP over 48h,T1110,Brute Force,2024-11-16 17:06:00,1. Enable account lockout immediately | 2. Block source IP | 3. Enforce MFA | 4. Review VPN/RDP logs for past 24h
145,BruteForce,Critical,MailServer-05,7,CVE-2024-49563,7.3,False,Isolated failed login,T1110,Brute Force,2024-11-06 11:54:00,1. Enable account lockout immediately | 2. Block source IP | 3. Enforce MFA | 4. Review VPN/RDP logs for past 24h
146,Malware,High,FileServer-02,8,None,0.0,False,No prior incidents,T1059,Command and Scripting Interpreter,2024-11-15 11:15:00,1. Isolate the affected endpoint | 2. Run EDR scan and memory dump | 3. Check SIEM for lateral movement | 4. Review process execution logs (T1059)
147,DataExfiltration,High,FileServer-02,8,CVE-2024-21338,7.8,True,Unusual outbound traffic spike last week,T1041,Exfiltration Over C2 Channel,2024-11-26 06:13:00,1. Block destination IP at perimeter | 2. Capture full network traffic | 3. Identify scope of exfiltrated data | 4. Engage legal team
148,Malware,Critical,DatabaseServer-04,9,None,0.0,True,Similar incident 2 months ago on same subnet,T1059,Command and Scripting Interpreter,2024-11-07 10:08:00,1. Isolate the affected endpoint | 2. Run EDR scan and memory dump | 3. Check SIEM for lateral movement | 4. Review process execution logs (T1059)
149,DataExfiltration,Critical,DomainController-01,10,CVE-2024-21338,7.8,False,No prior exfiltration events,T1041,Exfiltration Over C2 Channel,2024-11-11 09:37:00,1. Block destination IP at perimeter | 2. Capture full network traffic | 3. Identify scope of exfiltrated data | 4. Engage legal team
150,Malware,High,DomainController-01,10,CVE-2024-30051,7.8,True,Similar incident 2 months ago on same subnet,T1059,Command and Scripting Interpreter,2024-11-03 23:30:00,1. Isolate the affected endpoint | 2. Run EDR scan and memory dump | 3. Check SIEM for lateral movement | 4. Review process execution logs (T1059)
151,BruteForce,High,DomainController-01,10,None,0.0,True,Repeated failed logins from same IP over 48h,T1110,Brute Force,2024-11-03 02:46:00,1. Enable account lockout immediately | 2. Block source IP | 3. Enforce MFA | 4. Review VPN/RDP logs for past 24h
152,DataExfiltration,High,Workstation-08,4,None,0.0,True,Unusual outbound traffic spike last week,T1041,Exfiltration Over C2 Channel,2024-11-03 20:30:00,1. Block destination IP at perimeter | 2. Capture full network traffic | 3. Identify scope of exfiltrated data | 4. Engage legal team
153,BruteForce,High,DomainController-01,10,None,0.0,True,Repeated failed logins from same IP over 48h,T1110,Brute Force,2024-11-04 16:20:00,1. Enable account lockout immediately | 2. Block source IP | 3. Enforce MFA | 4. Review VPN/RDP logs for past 24h
154,Malware,High,WebServer-03,7,None,0.0,True,Similar incident 2 months ago on same subnet,T1059,Command and Scripting Interpreter,2024-11-15 02:24:00,1. Isolate the affected endpoint | 2. Run EDR scan and memory dump | 3. Check SIEM for lateral movement | 4. Review process execution logs (T1059)
155,BruteForce,High,Workstation-07,4,None,0.0,False,Isolated failed login,T1110,Brute Force,2024-12-01 04:07:00,1. Enable account lockout immediately | 2. Block source IP | 3. Enforce MFA | 4. Review VPN/RDP logs for past 24h
156,Ransomware,High,Workstation-08,4,CVE-2024-37085,7.2,True,Ransomware family previously seen in sector,T1486,Data Encrypted for Impact,2024-11-18 21:21:00,1. Disconnect host from network IMMEDIATELY | 2. Snapshot VMs before shutdown | 3. Activate IR playbook | 4. Preserve forensic evidence
157,BruteForce,High,DomainController-01,10,None,0.0,True,Repeated failed logins from same IP over 48h,T1110,Brute Force,2024-11-17 05:09:00,1. Enable account lockout immediately | 2. Block source IP | 3. Enforce MFA | 4. Review VPN/RDP logs for past 24h
158,BruteForce,Critical,DomainController-01,10,CVE-2024-49563,7.3,False,Isolated failed login,T1110,Brute Force,2024-11-17 03:51:00,1. Enable account lockout immediately | 2. Block source IP | 3. Enforce MFA | 4. Review VPN/RDP logs for past 24h
159,Malware,High,Workstation-08,4,None,0.0,False,No prior incidents,T1059,Command and Scripting Interpreter,2024-11-16 08:55:00,1. Isolate the affected endpoint | 2. Run EDR scan and memory dump | 3. Check SIEM for lateral movement | 4. Review process execution logs (T1059)
160,DataExfiltration,High,DomainController-01,10,None,0.0,False,No prior exfiltration events,T1041,Exfiltration Over C2 Channel,2024-11-25 21:32:00,1. Block destination IP at perimeter | 2. Capture full network traffic | 3. Identify scope of exfiltrated data | 4. Engage legal team
161,Ransomware,Critical,FileServer-02,8,CVE-2024-40711,9.8,True,Ransomware family previously seen in sector,T1486,Data Encrypted for Impact,2024-11-06 03:48:00,1. Disconnect host from network IMMEDIATELY | 2. Snapshot VMs before shutdown | 3. Activate IR playbook | 4. Preserve forensic evidence
162,Malware,High,AppServer-06,6,None,0.0,True,Similar incident 2 months ago on same subnet,T1059,Command and Scripting Interpreter,2024-11-27 10:43:00,1. Isolate the affected endpoint | 2. Run EDR scan and memory dump | 3. Check SIEM for lateral movement | 4. Review process execution logs (T1059)
163,Malware,Critical,WebServer-03,7,CVE-2024-21412,9.8,True,Similar incident 2 months ago on same subnet,T1059,Command and Scripting Interpreter,2024-11-14 10:58:00,1. Isolate the affected endpoint | 2. Run EDR scan and memory dump | 3. Check SIEM for lateral movement | 4. Review process execution logs (T1059)
164,Malware,High,DatabaseServer-04,9,None,0.0,False,No prior incidents,T1059,Command and Scripting Interpreter,2024-11-28 06:01:00,1. Isolate the affected endpoint | 2. Run EDR scan and memory dump | 3. Check SIEM for lateral movement | 4. Review process execution logs (T1059)
165,BruteForce,Medium,Workstation-08,4,None,0.0,False,Isolated failed login,T1110,Brute Force,2024-11-14 13:46:00,1. Enable account lockout immediately | 2. Block source IP | 3. Enforce MFA | 4. Review VPN/RDP logs for past 24h
166,Phishing,Critical,DomainController-01,10,CVE-2024-20656,7.8,True,Similar phishing attempt observed yesterday,T1566,Phishing,2024-11-03 08:43:00,1. Block sender domain at mail gateway | 2. Notify impacted users | 3. Search mailboxes for similar messages | 4. Reset credentials if link was clicked
167,BruteForce,Medium,Workstation-08,4,None,0.0,True,Repeated failed logins from same IP over 48h,T1110,Brute Force,2024-11-10 10:48:00,1. Enable account lockout immediately | 2. Block source IP | 3. Enforce MFA | 4. Review VPN/RDP logs for past 24h
168,BruteForce,High,DomainController-01,10,None,0.0,True,Repeated failed logins from same IP over 48h,T1110,Brute Force,2024-11-23 17:42:00,1. Enable account lockout immediately | 2. Block source IP | 3. Enforce MFA | 4. Review VPN/RDP logs for past 24h
169,Malware,Critical,DomainController-01,10,CVE-2024-21412,9.8,True,Similar incident 2 months ago on same subnet,T1059,Command and Scripting Interpreter,2024-11-07 02:48:00,1. Isolate the affected endpoint | 2. Run EDR scan and memory dump | 3. Check SIEM for lateral movement | 4. Review process execution logs (T1059)
170,BruteForce,High,DomainController-01,10,None,0.0,False,Isolated failed login,T1110,Brute Force,2024-11-17 11:34:00,1. Enable account lockout immediately | 2. Block source IP | 3. Enforce MFA | 4. Review VPN/RDP logs for past 24h
171,BruteForce,Critical,MailServer-05,7,CVE-2024-49563,7.3,True,Repeated failed logins from same IP over 48h,T1110,Brute Force,2024-11-19 20:01:00,1. Enable account lockout immediately | 2. Block source IP | 3. Enforce MFA | 4. Review VPN/RDP logs for past 24h
172,Malware,High,MailServer-05,7,None,0.0,True,Similar incident 2 months ago on same subnet,T1059,Command and Scripting Interpreter,2024-11-28 13:26:00,1. Isolate the affected endpoint | 2. Run EDR scan and memory dump | 3. Check SIEM for lateral movement | 4. Review process execution logs (T1059)
173,BruteForce,High,MailServer-05,7,CVE-2024-38077,9.8,True,Repeated failed logins from same IP over 48h,T1110,Brute Force,2024-11-30 16:58:00,1. Enable account lockout immediately | 2. Block source IP | 3. Enforce MFA | 4. Review VPN/RDP logs for past 24h
174,BruteForce,Critical,DomainController-01,10,CVE-2024-38077,9.8,True,Repeated failed logins from same IP over 48h,T1110,Brute Force,2024-11-04 14:25:00,1. Enable account lockout immediately | 2. Block source IP | 3. Enforce MFA | 4. Review VPN/RDP logs for past 24h
175,DataExfiltration,High,FileServer-02,8,None,0.0,False,No prior exfiltration events,T1041,Exfiltration Over C2 Channel,2024-11-28 06:07:00,1. Block destination IP at perimeter | 2. Capture full network traffic | 3. Identify scope of exfiltrated data | 4. Engage legal team
176,Malware,High,MailServer-05,7,CVE-2024-38112,8.8,True,Similar incident 2 months ago on same subnet,T1059,Command and Scripting Interpreter,2024-11-07 13:15:00,1. Isolate the affected endpoint | 2. Run EDR scan and memory dump | 3. Check SIEM for lateral movement | 4. Review process execution logs (T1059)
177,BruteForce,Critical,DatabaseServer-04,9,None,0.0,True,Repeated failed logins from same IP over 48h,T1110,Brute Force,2024-11-04 11:11:00,1. Enable account lockout immediately | 2. Block source IP | 3. Enforce MFA | 4. Review VPN/RDP logs for past 24h
178,Ransomware,High,Workstation-07,4,None,0.0,True,Ransomware family previously seen in sector,T1486,Data Encrypted for Impact,2024-11-25 08:41:00,1. Disconnect host from network IMMEDIATELY | 2. Snapshot VMs before shutdown | 3. Activate IR playbook | 4. Preserve forensic evidence
179,Ransomware,High,MailServer-05,7,CVE-2024-37085,7.2,True,Ransomware family previously seen in sector,T1486,Data Encrypted for Impact,2024-11-28 04:19:00,1. Disconnect host from network IMMEDIATELY | 2. Snapshot VMs before shutdown | 3. Activate IR playbook | 4. Preserve forensic evidence
180,Ransomware,Critical,MailServer-05,7,None,0.0,True,Ransomware family previously seen in sector,T1486,Data Encrypted for Impact,2024-11-02 20:03:00,1. Disconnect host from network IMMEDIATELY | 2. Snapshot VMs before shutdown | 3. Activate IR playbook | 4. Preserve forensic evidence
181,BruteForce,High,DomainController-01,10,None,0.0,False,Isolated failed login,T1110,Brute Force,2024-11-26 00:35:00,1. Enable account lockout immediately | 2. Block source IP | 3. Enforce MFA | 4. Review VPN/RDP logs for past 24h
182,DataExfiltration,High,DomainController-01,10,None,0.0,True,Unusual outbound traffic spike last week,T1041,Exfiltration Over C2 Channel,2024-11-09 06:20:00,1. Block destination IP at perimeter | 2. Capture full network traffic | 3. Identify scope of exfiltrated data | 4. Engage legal team
183,BruteForce,Critical,DomainController-01,10,None,0.0,True,Repeated failed logins from same IP over 48h,T1110,Brute Force,2024-11-15 21:45:00,1. Enable account lockout immediately | 2. Block source IP | 3. Enforce MFA | 4. Review VPN/RDP logs for past 24h
184,Ransomware,Low,Workstation-08,4,None,0.0,True,Ransomware family previously seen in sector,T1486,Data Encrypted for Impact,2024-11-23 14:33:00,1. Disconnect host from network IMMEDIATELY | 2. Snapshot VMs before shutdown | 3. Activate IR playbook | 4. Preserve forensic evidence
185,BruteForce,High,WebServer-03,7,None,0.0,False,Isolated failed login,T1110,Brute Force,2024-11-26 18:03:00,1. Enable account lockout immediately | 2. Block source IP | 3. Enforce MFA | 4. Review VPN/RDP logs for past 24h
186,Ransomware,Critical,DomainController-01,10,CVE-2024-26169,7.0,True,Ransomware family previously seen in sector,T1486,Data Encrypted for Impact,2024-11-13 08:16:00,1. Disconnect host from network IMMEDIATELY | 2. Snapshot VMs before shutdown | 3. Activate IR playbook | 4. Preserve forensic evidence
187,Ransomware,Critical,DatabaseServer-04,9,CVE-2024-26169,7.0,True,Ransomware family previously seen in sector,T1486,Data Encrypted for Impact,2024-11-16 04:19:00,1. Disconnect host from network IMMEDIATELY | 2. Snapshot VMs before shutdown | 3. Activate IR playbook | 4. Preserve forensic evidence
188,Ransomware,High,AppServer-06,6,CVE-2024-37085,7.2,True,Ransomware family previously seen in sector,T1486,Data Encrypted for Impact,2024-11-14 11:35:00,1. Disconnect host from network IMMEDIATELY | 2. Snapshot VMs before shutdown | 3. Activate IR playbook | 4. Preserve forensic evidence
189,DataExfiltration,Critical,DatabaseServer-04,9,None,0.0,True,Unusual outbound traffic spike last week,T1041,Exfiltration Over C2 Channel,2024-11-22 22:23:00,1. Block destination IP at perimeter | 2. Capture full network traffic | 3. Identify scope of exfiltrated data | 4. Engage legal team
190,BruteForce,Low,Workstation-08,4,None,0.0,False,Isolated failed login,T1110,Brute Force,2024-11-07 02:09:00,1. Enable account lockout immediately | 2. Block source IP | 3. Enforce MFA | 4. Review VPN/RDP logs for past 24h
191,DataExfiltration,Medium,Workstation-07,4,None,0.0,True,Unusual outbound traffic spike last week,T1041,Exfiltration Over C2 Channel,2024-11-27 14:08:00,1. Block destination IP at perimeter | 2. Capture full network traffic | 3. Identify scope of exfiltrated data | 4. Engage legal team
192,Malware,High,DatabaseServer-04,9,None,0.0,False,No prior incidents,T1059,Command and Scripting Interpreter,2024-11-19 22:02:00,1. Isolate the affected endpoint | 2. Run EDR scan and memory dump | 3. Check SIEM for lateral movement | 4. Review process execution logs (T1059)
193,Ransomware,High,FileServer-02,8,None,0.0,True,Ransomware family previously seen in sector,T1486,Data Encrypted for Impact,2024-11-20 09:14:00,1. Disconnect host from network IMMEDIATELY | 2. Snapshot VMs before shutdown | 3. Activate IR playbook | 4. Preserve forensic evidence
194,BruteForce,Critical,Workstation-07,4,CVE-2024-38077,9.8,True,Repeated failed logins from same IP over 48h,T1110,Brute Force,2024-11-20 01:29:00,1. Enable account lockout immediately | 2. Block source IP | 3. Enforce MFA | 4. Review VPN/RDP logs for past 24h
195,DataExfiltration,High,Workstation-08,4,None,0.0,False,No prior exfiltration events,T1041,Exfiltration Over C2 Channel,2024-11-09 18:51:00,1. Block destination IP at perimeter | 2. Capture full network traffic | 3. Identify scope of exfiltrated data | 4. Engage legal team
196,DataExfiltration,High,DomainController-01,10,None,0.0,True,Unusual outbound traffic spike last week,T1041,Exfiltration Over C2 Channel,2024-11-05 15:45:00,1. Block destination IP at perimeter | 2. Capture full network traffic | 3. Identify scope of exfiltrated data | 4. Engage legal team
197,DataExfiltration,High,WebServer-03,7,CVE-2024-21338,7.8,False,No prior exfiltration events,T1041,Exfiltration Over C2 Channel,2024-11-23 03:09:00,1. Block destination IP at perimeter | 2. Capture full network traffic | 3. Identify scope of exfiltrated data | 4. Engage legal team
198,Malware,High,FileServer-02,8,None,0.0,True,Similar incident 2 months ago on same subnet,T1059,Command and Scripting Interpreter,2024-11-18 22:03:00,1. Isolate the affected endpoint | 2. Run EDR scan and memory dump | 3. Check SIEM for lateral movement | 4. Review process execution logs (T1059)
199,BruteForce,Critical,AppServer-06,6,CVE-2024-49563,7.3,False,Isolated failed login,T1110,Brute Force,2024-11-05 11:53:00,1. Enable account lockout immediately | 2. Block source IP | 3. Enforce MFA | 4. Review VPN/RDP logs for past 24h
200,BruteForce,Critical,DatabaseServer-04,9,CVE-2024-38077,9.8,True,Repeated failed logins from same IP over 48h,T1110,Brute Force,2024-11-21 09:44:00,1. Enable account lockout immediately | 2. Block source IP | 3. Enforce MFA | 4. Review VPN/RDP logs for past 24h
201,DataExfiltration,High,Workstation-07,4,None,0.0,True,Unusual outbound traffic spike last week,T1041,Exfiltration Over C2 Channel,2024-11-02 01:16:00,1. Block destination IP at perimeter | 2. Capture full network traffic | 3. Identify scope of exfiltrated data | 4. Engage legal team
202,Malware,Critical,Workstation-08,4,None,0.0,False,No prior incidents,T1059,Command and Scripting Interpreter,2024-11-14 02:07:00,1. Isolate the affected endpoint | 2. Run EDR scan and memory dump | 3. Check SIEM for lateral movement | 4. Review process execution logs (T1059)
203,BruteForce,Low,Workstation-08,4,None,0.0,True,Repeated failed logins from same IP over 48h,T1110,Brute Force,2024-11-01 22:40:00,1. Enable account lockout immediately | 2. Block source IP | 3. Enforce MFA | 4. Review VPN/RDP logs for past 24h
204,Malware,Critical,DatabaseServer-04,9,CVE-2024-38112,8.8,True,Similar incident 2 months ago on same subnet,T1059,Command and Scripting Interpreter,2024-11-11 12:36:00,1. Isolate the affected endpoint | 2. Run EDR scan and memory dump | 3. Check SIEM for lateral movement | 4. Review process execution logs (T1059)
205,Ransomware,High,DomainController-01,10,None,0.0,False,No prior ransomware history,T1486,Data Encrypted for Impact,2024-11-23 16:34:00,1. Disconnect host from network IMMEDIATELY | 2. Snapshot VMs before shutdown | 3. Activate IR playbook | 4. Preserve forensic evidence
206,Phishing,Critical,Workstation-08,4,CVE-2024-20656,7.8,True,Similar phishing attempt observed yesterday,T1566,Phishing,2024-11-28 08:24:00,1. Block sender domain at mail gateway | 2. Notify impacted users | 3. Search mailboxes for similar messages | 4. Reset credentials if link was clicked
207,BruteForce,High,DomainController-01,10,None,0.0,False,Isolated failed login,T1110,Brute Force,2024-11-29 06:40:00,1. Enable account lockout immediately | 2. Block source IP | 3. Enforce MFA | 4. Review VPN/RDP logs for past 24h
208,Ransomware,Critical,MailServer-05,7,CVE-2024-37085,7.2,True,Ransomware family previously seen in sector,T1486,Data Encrypted for Impact,2024-11-28 16:11:00,1. Disconnect host from network IMMEDIATELY | 2. Snapshot VMs before shutdown | 3. Activate IR playbook | 4. Preserve forensic evidence
209,Ransomware,High,Workstation-07,4,CVE-2024-37085,7.2,False,No prior ransomware history,T1486,Data Encrypted for Impact,2024-11-20 18:02:00,1. Disconnect host from network IMMEDIATELY | 2. Snapshot VMs before shutdown | 3. Activate IR playbook | 4. Preserve forensic evidence
210,Malware,Critical,FileServer-02,8,CVE-2024-21412,9.8,False,No prior incidents,T1059,Command and Scripting Interpreter,2024-11-18 05:52:00,1. Isolate the affected endpoint | 2. Run EDR scan and memory dump | 3. Check SIEM for lateral movement | 4. Review process execution logs (T1059)
211,BruteForce,High,FileServer-02,8,None,0.0,True,Repeated failed logins from same IP over 48h,T1110,Brute Force,2024-11-29 05:21:00,1. Enable account lockout immediately | 2. Block source IP | 3. Enforce MFA | 4. Review VPN/RDP logs for past 24h
212,DataExfiltration,High,AppServer-06,6,None,0.0,True,Unusual outbound traffic spike last week,T1041,Exfiltration Over C2 Channel,2024-11-17 17:21:00,1. Block destination IP at perimeter | 2. Capture full network traffic | 3. Identify scope of exfiltrated data | 4. Engage legal team
213,BruteForce,High,Workstation-07,4,None,0.0,True,Repeated failed logins from same IP over 48h,T1110,Brute Force,2024-11-04 18:46:00,1. Enable account lockout immediately | 2. Block source IP | 3. Enforce MFA | 4. Review VPN/RDP logs for past 24h
214,BruteForce,Critical,DatabaseServer-04,9,None,0.0,False,Isolated failed login,T1110,Brute Force,2024-11-15 05:42:00,1. Enable account lockout immediately | 2. Block source IP | 3. Enforce MFA | 4. Review VPN/RDP logs for past 24h
215,BruteForce,Critical,AppServer-06,6,CVE-2024-38077,9.8,False,Isolated failed login,T1110,Brute Force,2024-11-03 01:46:00,1. Enable account lockout immediately | 2. Block source IP | 3. Enforce MFA | 4. Review VPN/RDP logs for past 24h
